date,type,description
2010-03-07,WEEKEND,Sunday
2010-03-13,WEEKEND,Saturday
2010-03-14,WEEKEND,Sunday
2010-03-20,WEEKEND,Saturday
2010-03-21,WEEKEND,Sunday
2010-03-27,WEEKEND,Saturday
2010-03-28,WEEKEND,Sunday
2010-04-03,WEEKEND,Saturday
2010-04-04,WEEKEND,Sunday
2010-04-10,WEEKEND,Saturday
2010-04-11,WEEKEND,Sunday
2010-04-17,WEEKEND,Saturday
2010-04-18,WEEKEND,Sunday
2010-04-24,WEEKEND,Saturday
2010-04-25,WEEKEND,Sunday
2010-05-01,WEEKEND,Saturday
2010-05-02,WEEKEND,Sunday
2010-05-08,WEEKEND,Saturday
2010-05-09,WEEKEND,Sunday
2010-05-15,WEEKEND,Saturday
2010-05-16,WEEKEND,Sunday
2010-05-22,WEEKEND,Saturday
2010-05-23,WEEKEND,Sunday
2010-05-29,WEEKEND,Saturday
2010-05-30,WEEKEND,Sunday
2010-05-31,CLOSED,Memorial Day
2010-06-05,WEEKEND,Saturday
2010-06-06,WEEKEND,Sunday
2010-06-12,WEEKEND,Saturday
2010-06-13,WEEKEND,Sunday
2010-06-19,WEEKEND,Saturday
2010-06-20,WEEKEND,Sunday
2010-06-26,WEEKEND,Saturday
2010-06-27,WEEKEND,Sunday
2010-07-03,WEEKEND,Saturday
2010-07-04,CLOSED,Independence Day
2010-07-10,WEEKEND,Saturday
2010-07-11,WEEKEND,Sunday
2010-07-17,WEEKEND,Saturday
2010-07-18,WEEKEND,Sunday
2010-07-24,WEEKEND,Saturday
2010-07-25,WEEKEND,Sunday
2010-07-31,WEEKEND,Saturday
2010-08-01,WEEKEND,Sunday
2010-08-07,WEEKEND,Saturday
2010-08-08,WEEKEND,Sunday
2010-08-14,WEEKEND,Saturday
2010-08-15,WEEKEND,Sunday
2010-08-21,WEEKEND,Saturday
2010-08-22,WEEKEND,Sunday
2010-08-28,WEEKEND,Saturday
2010-08-29,WEEKEND,Sunday
2010-09-04,WEEKEND,Saturday
2010-09-05,WEEKEND,Sunday
2010-09-06,CLOSED,Labor Day
2010-09-11,WEEKEND,Saturday
2010-09-12,WEEKEND,Sunday
2010-09-18,WEEKEND,Saturday
2010-09-19,WEEKEND,Sunday
2010-09-25,WEEKEND,Saturday
2010-09-26,WEEKEND,Sunday
2010-10-02,WEEKEND,Saturday
2010-10-03,WEEKEND,Sunday
2010-10-09,WEEKEND,Saturday
2010-10-10,WEEKEND,Sunday
2010-10-16,WEEKEND,Saturday
2010-10-17,WEEKEND,Sunday
2010-10-23,WEEKEND,Saturday
